Analysis_Job	Well	Treatment	Reference	Ref_T
N206_MK_AZD	A1	MK2206_100uM	A5,A6	DMSO_1_100
N206_MK_AZD	A2	MK2206_100uM	A5,A6	DMSO_1_100
N206_MK_AZD	A3	AZD6244_100uM	A5,A6	DMSO_1_100
N206_MK_AZD	A4	AZD6244_100uM	A5,A6	DMSO_1_100
N206_MK_AZD	A5	DMSO_1_100	A5,A6	DMSO_1_100
N206_MK_AZD	A6	DMSO_1_100	A5,A6	DMSO_1_100
N206_MK_AZD	B1	MK2206_10uM	B5,B6	DMSO_1_1k
N206_MK_AZD	B2	MK2206_10uM	B5,B6	DMSO_1_1k
N206_MK_AZD	B3	AZD6244_10uM	B5,B6	DMSO_1_1k
N206_MK_AZD	B4	AZD6244_10uM	B5,B6	DMSO_1_1k
N206_MK_AZD	B5	DMSO_1_1k	B5,B6	DMSO_1_1k
N206_MK_AZD	B6	DMSO_1_1k	B5,B6	DMSO_1_1k
N206_MK_AZD	C1	MK2206_1uM	C5,C6	DMSO_1_10k
N206_MK_AZD	C2	MK2206_1uM	C5,C6	DMSO_1_10k
N206_MK_AZD	C3	AZD6244_1uM	C5,C6	DMSO_1_10k
N206_MK_AZD	C4	AZD6244_1uM	C5,C6	DMSO_1_10k
N206_MK_AZD	C5	DMSO_1_10k	C5,C6	DMSO_1_10k
N206_MK_AZD	C6	DMSO_1_10k	C5,C6	DMSO_1_10k
N206_MK_AZD	D1	MK2206_30nM	D5,D6	DMSO_1_333k
N206_MK_AZD	D2	MK2206_30nM	D5,D6	DMSO_1_333k
N206_MK_AZD	D3	AZD6244_30nM	D5,D6	DMSO_1_333k
N206_MK_AZD	D4	AZD6244_30nM	D5,D6	DMSO_1_333k
N206_MK_AZD	D5	DMSO_1_333k	D5,D6	DMSO_1_333k
N206_MK_AZD	D6	DMSO_1_333k	D5,D6	DMSO_1_333k
